date,zone,consumption,pressure,flow_rate,leakage,pipe_segment,temperature,population_served,water_quality_index
2024-01-01,Zone-A,1242.8,45.15,322.2,14.43,Segment-1,21.5,15000,83
2024-01-01,Zone-B,1024.7,61.54,281.9,9.6,Segment-2,22.3,12000,91
2024-01-01,Zone-C,1413.1,45.8,337.7,31.78,Segment-3,22.9,18000,84
2024-01-01,Zone-D,855.4,42.24,247.0,5.81,Segment-4,22.2,10000,93
2024-01-01,Zone-E,1139.1,43.67,293.7,9.02,Segment-5,22.5,13500,89
2024-01-02,Zone-A,1161.4,45.02,326.9,11.3,Segment-1,22.2,15000,86
2024-01-02,Zone-B,986.2,44.05,280.5,8.75,Segment-2,22.2,12000,94
2024-01-02,Zone-C,1418.7,46.32,348.1,21.1,Segment-3,21.9,18000,82
2024-01-02,Zone-D,908.9,42.93,222.5,8.59,Segment-4,21.9,10000,91
2024-01-02,Zone-E,1062.1,43.47,295.4,10.8,Segment-5,22.1,13500,90
2024-01-03,Zone-A,1280.0,45.9,315.6,14.11,Segment-1,21.7,15000,90
2024-01-03,Zone-B,943.1,43.86,274.4,7.85,Segment-2,21.6,12000,89
2024-01-03,Zone-C,1422.6,46.22,346.7,18.27,Segment-3,22.8,18000,84
2024-01-03,Zone-D,809.3,42.12,247.4,6.56,Segment-4,23.2,10000,93
2024-01-03,Zone-E,1198.7,61.45,293.0,8.71,Segment-5,22.2,13500,89
2024-01-04,Zone-A,1236.1,45.09,301.3,13.35,Segment-1,23.1,15000,86
2024-01-04,Zone-B,950.1,43.8,284.9,7.47,Segment-2,22.4,12000,89
2024-01-04,Zone-C,1500.1,46.52,352.1,16.85,Segment-3,23.3,18000,84
2024-01-04,Zone-D,985.7,42.58,243.7,5.2,Segment-4,23.8,10000,94
2024-01-04,Zone-E,1121.5,43.96,307.6,11.35,Segment-5,22.9,13500,88
2024-01-05,Zone-A,1189.6,45.26,326.2,11.6,Segment-1,23.3,15000,89
2024-01-05,Zone-B,977.8,43.6,292.0,8.15,Segment-2,22.5,12000,92
2024-01-05,Zone-C,1477.8,46.25,345.5,17.84,Segment-3,23.1,18000,85
2024-01-05,Zone-D,847.5,42.34,242.3,5.74,Segment-4,23.2,10000,96
2024-01-05,Zone-E,1107.9,44.16,287.2,9.91,Segment-5,23.3,13500,85
2024-01-06,Zone-A,1260.8,45.33,312.5,13.12,Segment-1,23.3,15000,84
2024-01-06,Zone-B,1005.1,43.79,272.0,10.22,Segment-2,23.4,12000,92
2024-01-06,Zone-C,1402.9,46.2,350.5,21.02,Segment-3,22.4,18000,85
2024-01-06,Zone-D,857.2,42.47,251.4,3.39,Segment-4,24.2,10000,91
2024-01-06,Zone-E,1131.4,44.3,293.2,10.74,Segment-5,22.3,13500,93
2024-01-07,Zone-A,1244.7,45.72,302.8,13.9,Segment-1,24.3,15000,87
2024-01-07,Zone-B,977.3,43.63,290.9,7.89,Segment-2,22.8,12000,90
2024-01-07,Zone-C,1515.0,46.24,353.4,17.74,Segment-3,23.8,18000,84
2024-01-07,Zone-D,899.4,42.87,241.0,6.7,Segment-4,23.9,10000,92
2024-01-07,Zone-E,1045.4,43.77,287.2,9.77,Segment-5,23.9,13500,88
2024-01-08,Zone-A,1245.7,44.98,317.5,11.61,Segment-1,23.5,15000,90
2024-01-08,Zone-B,1033.2,43.95,283.8,8.19,Segment-2,24.0,12000,93
2024-01-08,Zone-C,1547.7,45.85,347.5,33.45,Segment-3,24.3,18000,81
2024-01-08,Zone-D,760.7,41.93,255.4,6.21,Segment-4,23.7,10000,96
2024-01-08,Zone-E,1128.4,43.94,303.6,11.45,Segment-5,23.8,13500,92
2024-01-09,Zone-A,1247.2,45.0,320.0,13.88,Segment-1,24.9,15000,85
2024-01-09,Zone-B,1027.9,43.97,294.5,8.25,Segment-2,23.9,12000,90
2024-01-09,Zone-C,1450.5,45.72,354.0,18.33,Segment-3,24.9,18000,81
2024-01-09,Zone-D,783.0,42.34,243.3,6.6,Segment-4,23.7,10000,97
2024-01-09,Zone-E,1132.4,43.43,297.3,11.38,Segment-5,24.8,13500,91
2024-01-10,Zone-A,1292.6,45.0,331.3,14.78,Segment-1,25.3,15000,83
2024-01-10,Zone-B,1023.0,60.52,280.3,7.13,Segment-2,25.2,12000,89
2024-01-10,Zone-C,1514.4,45.69,351.8,17.74,Segment-3,25.0,18000,81
2024-01-10,Zone-D,890.4,43.04,236.1,8.11,Segment-4,24.4,10000,93
2024-01-10,Zone-E,1120.1,44.25,302.2,10.3,Segment-5,24.0,13500,87
2024-01-11,Zone-A,1316.5,45.16,336.9,14.61,Segment-1,25.1,15000,92
2024-01-11,Zone-B,982.7,43.94,280.1,7.17,Segment-2,24.1,12000,90
2024-01-11,Zone-C,1405.8,46.36,350.9,18.23,Segment-3,25.1,18000,83
2024-01-11,Zone-D,859.3,42.02,239.0,6.44,Segment-4,24.3,10000,91
2024-01-11,Zone-E,1067.1,44.54,293.9,11.48,Segment-5,24.1,13500,90
2024-01-12,Zone-A,1248.1,45.35,332.3,11.84,Segment-1,25.3,15000,85
2024-01-12,Zone-B,965.7,61.82,279.2,9.44,Segment-2,24.1,12000,90
